,level_0,index,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,sumPos,sumNeg
0,145,100,2021/06/09,26100,750,2.96,24800,27650,23650,49304967,1263267529750,11026769133600,422481576,17.849259792525,14.611738966599999
1,146,99,2021/06/10,23400,-2700,-10.34,25500,26000,23050,26820159,650621174200,9886068878400,422481576,22.452277412150007,17.962871942449997
2,149,96,2021/06/15,23600,50,0.21,23500,24200,23050,7193835,170241998600,9970565807200,422481602,42.98197217175,34.90171381854999
3,152,93,2021/06/18,25250,1150,4.77,24350,25250,23550,9648276,236364541350,10667660450500,422481602,10.805845431400003,8.045447441199999
4,155,90,2021/06/23,26000,-750,-2.8,26800,27200,25750,12694560,335700091150,10984567334000,422483359,34.205900277999994,31.41690140430002
5,156,89,2021/06/24,24650,-1350,-5.19,26300,26450,24500,14268629,361373489350,10414214799350,422483359,29.287790807299988,26.473264240100004
6,157,88,2021/06/25,24750,100,0.41,24500,25250,24100,8665468,214360306300,10456463135250,422483359,35.32341592509997,23.1386913196
7,160,85,2021/06/30,23850,-350,-1.45,24150,24200,23500,4892112,116545944650,10076228112150,422483359,17.291723269112502,15.901840923387498
8,161,84,2021/07/01,24850,1000,4.19,24100,25200,23650,11082685,273209234350,10498711471150,422483359,15.239817628966668,11.309831831533335
9,163,82,2021/07/05,24950,200,0.81,24800,25450,24300,6993495,174743202650,10670510336750,427675765,63.17973641080002,50.18811560560001
10,165,80,2021/07/07,25350,-700,-2.69,26050,26400,25200,8883352,228429573100,10841580642750,427675765,25.95734148,20.2326699512
11,169,76,2021/07/13,25500,0,0.0,25500,26300,25450,7125834,184472757900,10905732007500,427675765,37.97647236260001,35.17699391860002
12,173,72,2021/07/19,24800,-300,-1.2,24600,25250,24100,4477148,110599915800,10606358972000,427675765,23.417925611575,17.16848629050625
13,174,71,2021/07/20,25100,300,1.21,24500,25450,24400,8034764,201461696650,10745063568200,428090182,24.502483829033334,20.00964430336666
14,175,70,2021/07/21,24400,-700,-2.79,24250,25000,23600,23143319,559746319150,12480346703600,511489619,35.0480909337,22.869716568299992
15,179,66,2021/07/27,22950,150,0.66,22900,23450,22700,5086433,117621626700,11738686756050,511489619,16.69148737628125,13.541740837824994
16,180,65,2021/07/28,22550,-400,-1.74,22850,23100,22300,5029262,113941646650,11534090908450,511489619,10.49707596682,11.62677565086
17,181,64,2021/07/29,22550,0,0.0,23000,23050,22400,3600769,81621698200,11534090908450,511489619,30.6996684778,28.789989245199997
18,182,63,2021/07/30,21750,-800,-3.55,22400,22500,21550,9395196,206672089100,11124899213250,511489619,13.681281985475,10.040969124487496
19,183,62,2021/08/02,21800,50,0.23,21700,22150,21300,4528795,98655207600,11150473694200,511489619,22.593583959488885,16.33490272092222
20,189,56,2021/08/10,21500,50,0.23,21450,21750,21050,4820501,102923712600,11016953051500,512416421,20.093712892550002,19.771797457299996
21,190,55,2021/08/11,21350,-150,-0.7,21300,21850,21250,3164590,67993416550,10940090588350,512416421,17.12897061892,11.03041970632
22,191,54,2021/08/12,21700,350,1.64,21450,22250,21400,7949013,173384768100,11119436335700,512416421,22.7094763366,21.3161700382
23,193,52,2021/08/17,20650,-150,-0.72,21100,21200,20500,4675178,97222530600,10581399093650,512416421,11.463670860299999,7.688206368649999
24,196,49,2021/08/20,19500,0,0.0,19550,20100,19350,6913642,135958393750,10020445929000,513869022,19.8887268257,18.2237533849
25,204,41,2021/09/01,21900,1000,4.78,20900,22750,20650,16710922,366807797150,11253731581800,513869022,17.82208367984286,14.253254480599997
26,207,38,2021/09/06,21850,100,0.46,21850,22050,21500,3397053,72820347450,11274737086900,516006274,14.609077841499998,8.1490522344
27,213,32,2021/09/14,21000,700,3.45,20400,21300,20400,3757880,78525568050,10836131754000,516006274,25.3513747093,16.14176992509999
28,214,31,2021/09/15,21050,50,0.24,21050,21700,20950,4251447,90551966900,10861932067700,516006274,21.759092220657145,14.30273639861428
29,218,27,2021/09/24,20550,-550,-2.61,21250,21300,20500,4238194,87775820100,10615562306250,516572375,39.341856275299975,30.702034338399997
30,222,23,2021/09/30,20550,100,0.49,20400,21100,20300,3692901,76530911300,10615562306250,516572375,21.6877212183,15.059001686359995
31,226,19,2021/10/07,19000,850,4.68,18250,19100,18250,3825082,71507212650,9855374081000,518703899,22.343055963349997,15.945451020549994
32,229,16,2021/10/13,21750,2800,14.78,19250,22050,19050,21043820,442045597800,11281809803250,518703899,21.29859043605,18.28273649615
33,231,14,2021/10/15,23450,1000,4.45,22650,24150,22500,25864817,606076602600,12163606431550,518703899,12.216331943066669,10.175476104366666
34,232,13,2021/10/18,23100,-350,-1.49,23950,24150,22800,13269028,311529943000,11982060066900,518703899,17.254733705600003,13.5330046477
35,233,12,2021/10/19,23000,-100,-0.43,23000,23550,22650,9022295,207101064100,11930189677000,518703899,5.1484168315000005,4.7227961111
36,235,10,2021/10/21,23100,1300,5.96,22050,23350,21900,15021575,339626188300,11982098990400,518705584,13.736677133522225,11.736754034399999
37,236,9,2021/10/22,22600,-500,-2.16,23250,23500,22550,11669246,268615563100,11722746198400,518705584,32.5432281084,35.0630507863
38,237,8,2021/10/25,25750,3150,13.94,23400,25900,23300,45115134,1125693514600,13356668788000,518705584,20.190808061888887,18.813501025244445
39,241,4,2021/10/29,24400,200,0.83,24500,25000,24100,9490424,232572485250,12656416249600,518705584,10.61126376225,9.2540219019
40,244,1,2021/11/03,24600,-500,-1.99,25800,25900,24250,11955366,298547501600,12760157366400,518705584,38.06665633530001,34.35607476389998
41,245,0,2021/11/04,26250,1650,6.71,25250,27550,25100,50024043,1325684806150,13538215742400,518705584,19.87747347688572,15.8187558994
